profile_gender,profile_age,work_country,work_province,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,profile_studies_level,profile_studies_level_state,profile_career,profile_university,profile_specialization_courses,profile_open_source_contributions,profile_programming_as_hobby,work_role,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,tools_IDEs,tools_work_pc_os,tools_cellphone_os,work_on_call_duty,salary_on_call_duty_charge,work_on_call_duty_charge_type,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_satisfaction,salary_comparison_last_semester,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment_2020,salary_percentage_inflation_adjustment_2020,salary_month_last_inflation_adjustment,work_has_violence_situations,profile_sexual_orientation,profile_has_disabilities,profile_has_disabilities_hiring_difficulties,company_employee_number,company_main_activity,company_recommended,company_diversity_policies,company_extra_benefits,company_best_companies_city
Mujer,26,Argentina,Ciudad Autónoma de Buenos Aires,3.0,3.0,3.0,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, los pagó un empleador",No,Sí,Consultant,Ninguna,Ninguno,Ninguno,Ninguna,Ninguna,Ninguno,GNU/Linux,Android,No,0.0,Bruto,Full-Time,53000.0,43000.0,,1,1,No,No recibo bono,No,0.0,0,En mi trabajo actual,Homosexual,,,501-1000,Servicios / Consultoría de Software / Digital,7,2,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida, Viáticos",
Hombre,29,Argentina,Corrientes,5.0,2.0,2.0,4,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Developer,"Docker, Google Cloud Platform/App Engine","HTML, Javascript, Python","Django, jQuery","Informix, MySQL, PostgreSQL",Ninguna,"IPython / Jupyter, Sublime Text, Visual Studio Code",GNU/Linux,Android,No,0.0,Bruto,Full-Time,79000.0,63000.0,,2,2,Menos de un sueldo,Performance de la compañía,Uno,10.0,1,Jamás,Heterosexual,Visual,No,201-500,Otras industrias,8,9,"Horarios flexibles, Stock options / RSUs, Viáticos",
Mujer,22,Argentina,Ciudad Autónoma de Buenos Aires,2.0,0.0,0.0,0,Secundario,Completado,,,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Infosec,"Linux, VMWare",Ninguno,Ninguno,Ninguna,Ninguna,Ninguno,Windows,iOS,No,0.0,Porcentaje de mi sueldo,Full-Time,160000.0,127000.0,,3,3,Un sueldo,Performance individual,No,0.0,0,En un trabajo anterior,Bisexual o queer,,No,2001-5000,Otras industrias,6,9,"Clases de gimnasia online, Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)",
Hombre,39,Argentina,Corrientes,15.0,15.0,13.0,5,Posgrado,Incompleto,Licenciatura en Sistemas,UNNE Universidad Nacional del Nordeste,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,SysAdmin / DevOps / SRE,"Docker, Linux, OpenStack, VMWare, Windows Server","Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL","jQuery, WordPress","Microsoft SQL Server, MySQL",PHPUnit,"Eclipse, Visual Studio Code",GNU/Linux,Android,"Sí, pasiva",0.0,Bruto,Full-Time,130000.0,102000.0,,3,1,No,No recibo bono,No,0.0,0,En mi trabajo actual,Heterosexual,,,501-1000,Otras industrias,7,6,"Abono de celular, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Horarios flexibles, Lactario en la oficina, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",
Hombre,32,Argentina,Ciudad Autónoma de Buenos Aires,9.0,6.0,6.0,0,Universitario,En curso,Licenciatura en Ciencias dela Computación,UBA - Universidad de Buenos Aires,No,No,Sí,Developer,Amazon Web Services,"CSS, HTML, Javascript, SQL, TypeScript","Angular, Node.js","Amazon DynamoDB, MongoDB, MySQL",Jest,Vim,macOS,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,140000.0,106000.0,,1,1,Menos de un sueldo,Performance individual,No,0.0,0,Jamás,Heterosexual,,,11-50,Servicios / Consultoría de Software / Digital,6,6,"Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,25,Argentina,Ciudad Autónoma de Buenos Aires,1.0,0.0,0.0,0,Terciario,Incompleto,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,No,No,Sí,Developer,Ninguna,"Java, Javascript","Node.js, React.js, Spark",MySQL,"Jest, JUnit, Postman","IntelliJ, Visual Studio Code",macOS,Android,No,0.0,Bruto,Full-Time,54000.0,44000.0,,2,2,No,No recibo bono,Uno,15.0,5,Jamás,Heterosexual,,No,10001+,Producto basado en Software,8,8,"Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas",
Hombre,33,Argentina,Ciudad Autónoma de Buenos Aires,1.0,1.0,1.0,0,Universitario,Incompleto,Ingeniería en Informática,UBA - Universidad de Buenos Aires,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,Developer,"Amazon Web Services, Docker, Linux, Serverless",Javascript,Node.js,"MongoDB, MySQL, Redis",Postman,Visual Studio Code,GNU/Linux,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,75000.0,62400.0,,3,3,No,No recibo bono,Dos,8.0,4,Jamás,Heterosexual,,,51-100,Producto basado en Software,7,7,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",Mercado Libre
Hombre,23,Argentina,Provincia de Buenos Aires,0.0,0.0,0.0,0,Terciario,En curso,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Developer,IBM Cloud / Watson,"Java, Javascript","Spring, Liferay",MySQL,Ninguna,"Eclipse, IntelliJ, NetBeans, Notepad++",Windows,iOS,No,0.0,Porcentaje de mi sueldo,Full-Time,45000.0,37500.0,,2,2,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,,,11-50,Producto basado en Software,8,10,Ninguna de las anteriores,"Globant, Accenture, Making Sense, Globalogic"
Hombre,40,Argentina,Entre Ríos,20.0,10.0,2.0,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Developer,"Linux, Windows Server","Javascript, PHP, TypeScript","Node.js, NestJS, Phalcon FW, Zend FW.","PostgreSQL, Redis",Ninguna,"Android Studio, Notepad++, Visual Studio Code, Xcode",Windows,iOS,"Sí, pasiva",1200.0,Bruto,Full-Time,105000.0,75000.0,,2,2,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,,,51-100,Otras industrias,4,2,Horarios flexibles,"Mercado Libre, Hexacta, Argeniss"
Otros,35,Argentina,Ciudad Autónoma de Buenos Aires,20.0,5.0,5.0,0,Universitario,Incompleto,Licenciatura en Ciencias dela Computación,UBA - Universidad de Buenos Aires,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,SysAdmin / DevOps / SRE,"Amazon Web Services, *BSD, Google Cloud Platform/App Engine, Linux, OpenStack","Assembler, Bash/Shell, C, C#, Python, R","Flask, Torch, WordPress","MongoDB, MySQL, SQLite",Ninguna,"Coda, Eclipse, IPython / Jupyter, Nano, Notepad++, RStudio, Vim, Visual Studio Code",GNU/Linux,No tengo celular / no es Smartphone,No,0.0,Bruto,Full-Time,47000.0,39000.0,,1,1,No,No recibo bono,No,0.0,0,En un trabajo anterior,Bisexual o queer,,No,10001+,Otras industrias,3,7,"Capacitaciones y/o cursos, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
